Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-10 00:01:01.111745,30.71875,21.21875,23.6206054688,1015.67,-0.43994140625,1.6904296875,1.12060546875,-68.672039072,-1.94920634921,-4.94798534799,-1.953125,-4.72259521484,-2.72369384766,0.08
2018-07-10 00:02:03.341900,30.71875,20.96875,23.6206054688,1015.69,-0.435546875,1.69775390625,1.15380859375,-68.3721611722,-2.39902319902,-4.94798534799,-0.679016113281,-6.11877441406,-1.99890136719,0.08
2018-07-10 00:03:05.580208,30.71875,21.21875,23.6206054688,1015.69,-0.44091796875,1.65869140625,1.15283203125,-69.1218559219,-0.449816849817,-6.59731379731,-2.89916992188,-5.69915771484,-3.38745117188,0.08
2018-07-10 00:04:07.818454,30.71875,21.09375,23.6206054688,1015.67,-0.443359375,1.7001953125,1.08203125,-69.4217338217,-0.899633699634,-4.64810744811,-2.31170654297,-5.64575195312,-3.19671630859,0.08
2018-07-10 00:05:10.120759,30.71875,21.25,23.5229492188,1015.69,-0.4560546875,1.66455078125,1.10888671875,-68.3721611722,-1.34945054945,-4.94798534799,-1.93023681641,-6.53076171875,-1.25122070312,0.08
2018-07-10 00:06:12.494998,30.71875,21.0625,23.6206054688,1015.67,-0.5048828125,1.66259765625,1.13916015625,-67.0227106227,-3.29865689866,-5.84761904762,-2.87628173828,-3.54766845703,-2.95257568359,0.08
2018-07-10 00:07:14.593280,30.71875,21.25,23.5229492188,1015.67,-0.458984375,1.64208984375,1.1298828125,-69.4217338217,-2.84884004884,-3.89841269841,-2.76184082031,-3.70025634766,-0.473022460938,0.08
2018-07-10 00:08:16.831557,30.71875,21.40625,23.5229492188,1015.67,-0.46142578125,1.65087890625,1.17041015625,-68.672039072,-2.39902319902,-4.64810744811,-1.39617919922,-4.7607421875,-3.13568115234,0.08
2018-07-10 00:09:18.997874,30.71875,21.1875,23.5229492188,1015.68,-0.40771484375,1.68359375,1.19384765625,-69.4217338217,-1.94920634921,-4.94798534799,-2.89154052734,-5.76782226562,-2.04467773438,0.08
2018-07-10 00:10:21.240144,30.71875,21.28125,23.5229492188,1015.63,-0.46875,1.69482421875,1.109375,-68.5221001221,-1.19951159951,-3.4485958486,-2.36511230469,-4.7607421875,-3.14331054688,0.08
2018-07-10 00:11:23.546392,30.71875,21.21875,23.5229492188,1015.7,-0.48486328125,1.6728515625,1.13232421875,-67.9223443223,-1.94920634921,-4.49816849817,-1.86157226562,-6.591796875,-2.11334228516,0.08
2018-07-10 00:12:25.780664,30.71875,21.28125,23.5229492188,1015.61,-0.4453125,1.72900390625,1.13427734375,-70.0214896215,-4.49816849817,-4.64810744811,-2.05993652344,-4.60052490234,-0.350952148438,0.08
2018-07-10 00:13:28.082941,30.6875,21.21875,23.5229492188,1015.6,-0.46728515625,1.7041015625,1.12353515625,-68.3721611722,-0.299877899878,-4.04835164835,-1.79290771484,-6.60705566406,-3.09753417969,0.08
2018-07-10 00:14:30.321212,30.6875,21.4375,23.5229492188,1015.61,-0.43310546875,1.716796875,1.1630859375,-68.0722832723,-1.19951159951,-5.24786324786,-2.86865234375,-7.39288330078,-2.37274169922,0.08
2018-07-10 00:15:32.291497,30.6875,21.0625,23.5107421875,1015.61,-0.44189453125,1.65234375,1.1435546875,-68.3721611722,-2.6989010989,-4.94798534799,-1.79290771484,-5.04302978516,0.144958496094,0.08
2018-07-10 00:16:34.457808,30.6875,21.0,23.5107421875,1015.62,-0.42236328125,1.7060546875,1.1259765625,-67.7724053724,-1.49938949939,-3.59853479853,-1.54113769531,-5.80596923828,-1.98364257812,0.08
2018-07-10 00:17:36.832075,30.6875,21.125,23.5229492188,1015.61,-0.40869140625,1.70166015625,1.1240234375,-68.821978022,-0.749694749695,-4.79804639805,-0.968933105469,-4.08172607422,-1.23596191406,0.08
2018-07-10 00:18:38.930360,30.6875,21.09375,23.5107421875,1015.62,-0.47998046875,1.73486328125,1.1064453125,-68.9719169719,-0.299877899878,-3.59853479853,-1.93786621094,-4.63104248047,-1.01470947266,0.08
2018-07-10 00:19:41.368600,30.6875,21.1875,23.5107421875,1015.66,-0.43994140625,1.7412109375,1.0859375,-68.821978022,-1.79926739927,-5.54774114774,-1.48010253906,-5.82885742188,-1.55639648438,0.08
2018-07-10 00:20:43.474878,30.65625,21.0,23.4130859375,1015.62,-0.439453125,1.623046875,1.12939453125,-68.5221001221,-2.54896214896,-5.69768009768,-2.35748291016,-6.02722167969,-1.00708007812,0.08
2018-07-10 00:21:45.577159,30.65625,21.25,23.5107421875,1015.67,-0.3798828125,1.7275390625,1.15380859375,-69.4217338217,-1.34945054945,-5.99755799756,-2.91442871094,-5.126953125,-0.885009765625,0.08
2018-07-10 00:22:47.747435,30.65625,21.15625,23.5107421875,1015.71,-0.44775390625,1.650390625,1.20458984375,-69.5716727717,-1.79926739927,-4.49816849817,0.205993652344,-3.28063964844,-2.34985351562,0.08
2018-07-10 00:23:49.981743,30.65625,21.09375,23.5107421875,1015.63,-0.45654296875,1.67529296875,1.12451171875,-68.5221001221,-3.29865689866,-4.79804639805,-2.44140625,-4.65393066406,-1.70135498047,0.08
2018-07-10 00:24:52.148022,30.65625,21.1875,23.5107421875,1015.64,-0.47021484375,1.69921875,1.04541015625,-67.9223443223,-1.64932844933,-4.64810744811,-4.47845458984,-6.591796875,-2.12860107422,0.08
2018-07-10 00:25:54.182272,30.65625,21.1875,23.5107421875,1015.67,-0.42919921875,1.708984375,1.13671875,-68.0722832723,-2.54896214896,-4.79804639805,-3.08990478516,-3.82995605469,-3.10516357422,0.08
2018-07-10 00:26:56.492548,30.65625,21.125,23.5107421875,1015.6,-0.384765625,1.69677734375,1.14892578125,-68.0722832723,-1.19951159951,-4.19829059829,-2.79235839844,-2.98309326172,-3.06701660156,0.08
2018-07-10 00:27:58.726852,30.65625,21.0625,23.5107421875,1015.54,-0.45068359375,1.70556640625,1.0634765625,-69.4217338217,-2.6989010989,-3.59853479853,-1.57165527344,-4.41741943359,-1.54113769531,0.08
2018-07-10 00:29:01.033096,30.65625,21.1875,23.4130859375,1015.61,-0.48681640625,1.72607421875,1.1142578125,-70.4713064713,-1.94920634921,-4.04835164835,-0.602722167969,-4.98962402344,-3.64685058594,0.08
2018-07-10 00:30:03.267372,30.65625,21.125,23.5107421875,1015.61,-0.38232421875,1.6923828125,1.07470703125,-68.9719169719,-1.94920634921,-3.59853479853,-2.89916992188,-2.85339355469,-1.84631347656,0.08
2018-07-10 00:31:05.237657,30.65625,21.28125,23.5107421875,1015.63,-0.39306640625,1.68017578125,1.15087890625,-68.5221001221,-0.749694749695,-3.89841269841,-3.16619873047,-4.68444824219,-2.89916992188,0.08
2018-07-10 00:32:07.475934,30.65625,21.25,23.5107421875,1015.61,-0.4814453125,1.6826171875,1.11328125,-68.821978022,-1.19951159951,-3.89841269841,-2.24304199219,-4.24957275391,-0.679016113281,0.08
2018-07-10 00:33:09.710208,30.65625,21.1875,23.5107421875,1015.63,-0.47607421875,1.7099609375,1.05859375,-68.672039072,-1.64932844933,-3.59853479853,-1.74713134766,-3.97491455078,-3.15093994141,0.08
