Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-05 14:42:04.261781,43.78125,36.03125,11.2487792969,1021.41,-0.546875,1.787109375,0.70654296875,-63.4241758242,1.19951159951,-2.99877899878,-2.91442871094,-2.79235839844,-2.64739990234,58.68
2018-07-05 14:43:07.711859,43.59375,36.40625,11.1450195312,1021.48,-0.50732421875,1.81982421875,0.72314453125,-63.4241758242,0.749694749695,-1.94920634921,-0.381469726562,-2.41851806641,-2.51770019531,58.0
2018-07-05 14:44:32.690971,44.09375,37.03125,11.9506835938,1021.39,-0.46240234375,1.8427734375,0.65478515625,0.0,0.0,0.0,0.0,0.0,0.0,26.28
2018-07-05 14:45:36.267758,43.78125,36.5625,11.9506835938,1021.4,-0.474609375,1.783203125,0.83447265625,0.0,0.0,0.0,0.0,0.0,0.0,56.52
2018-07-05 14:46:47.087953,42.6875,33.34375,11.7309570312,1021.41,-0.53125,1.8095703125,0.724609375,-64.4737484737,0.599755799756,-3.14871794872,-2.99835205078,-2.84576416016,-1.15966796875,54.8
Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-05 14:48:34.282952,41.3125,34.375,13.0920410156,1021.34,-0.5302734375,1.89501953125,2.8818359375,-70.9211233211,0.599755799756,-6.1474969475,-2.91442871094,-5.74493408203,-2.35748291016,61.06
2018-07-05 14:49:37.865036,41.3125,35.0625,13.2873535156,1021.35,-0.5380859375,1.99755859375,1.826171875,-76.6188034188,0.299877899878,-7.94676434676,-2.94494628906,-5.75256347656,-1.73950195312,47.66
2018-07-05 14:50:30.595645,41.8125,35.4375,13.0981445312,1021.26,-0.509765625,1.978515625,1.4267578125,-77.6683760684,-1.19951159951,-8.99633699634,-1.15203857422,-4.90570068359,-2.39562988281,47.88
2018-07-05 14:51:34.577802,41.96875,35.75,12.59765625,1021.29,-0.4921875,1.91796875,2.34375,-75.5692307692,1.04957264957,-7.94676434676,-3.64685058594,-4.23431396484,-1.5869140625,47.72
2018-07-05 14:52:38.432092,42.0,35.40625,12.59765625,1021.21,-0.5302734375,1.9931640625,2.01904296875,-76.7687423687,1.49938949939,-9.44615384615,-2.8076171875,-4.30297851562,-1.41906738281,47.72
2018-07-05 14:53:41.478291,42.09375,36.0,12.59765625,1021.18,-0.50341796875,1.931640625,1.115234375,-76.6188034188,0.0,-7.64688644689,-0.67138671875,-4.08172607422,-2.21252441406,47.56
2018-07-05 14:54:45.332576,41.9375,35.71875,12.59765625,1021.22,-0.51708984375,1.9287109375,1.77392578125,-77.8183150183,0.749694749695,-7.64688644689,-3.07464599609,-6.16455078125,-2.13623046875,47.56
2018-07-05 14:55:48.722789,42.0,35.71875,12.6037597656,1021.21,-0.5302734375,1.97216796875,1.71875,-77.6683760684,0.0,-8.54652014652,-3.95965576172,-5.50842285156,-1.28936767578,47.56
2018-07-05 14:56:52.373004,42.125,35.5625,12.5061035156,1021.19,-0.509765625,1.9697265625,2.56005859375,-76.7687423687,1.19951159951,-8.99633699634,-4.55474853516,-5.28717041016,-0.717163085938,47.56
2018-07-05 14:57:55.759243,42.21875,36.0625,12.4145507812,1021.18,-0.50341796875,1.9609375,0.77978515625,-76.6188034188,1.34945054945,-7.94676434676,-0.541687011719,-4.21142578125,-2.36511230469,47.1
Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-05 14:59:44.982290,41.03125,34.1875,13.5803222656,1021.16,-0.49169921875,1.82666015625,0.70361328125,0.0,0.0,0.0,0.0,0.0,0.0,54.32
2018-07-05 15:00:48.022481,40.46875,33.375,13.7634277344,1021.12,-0.4990234375,1.79150390625,0.75341796875,0.0,0.0,0.0,0.0,0.0,0.0,56.88
2018-07-05 15:01:51.200724,40.46875,33.25,14.16015625,1021.11,-0.5029296875,1.8017578125,0.76318359375,0.0,0.0,0.0,0.0,0.0,0.0,57.2
2018-07-05 15:02:54.314970,40.28125,32.6875,14.1540527344,1021.06,-0.50341796875,1.78369140625,0.7685546875,0.0,0.0,0.0,0.0,0.0,0.0,57.68
2018-07-05 15:03:57.429221,40.1875,32.34375,14.4470214844,1021.02,-0.50048828125,1.78955078125,0.76708984375,0.0,0.0,0.0,0.0,0.0,0.0,56.24
2018-07-05 15:05:00.275482,39.875,32.15625,15.2282714844,1021.01,-0.50732421875,1.76953125,0.7958984375,0.0,0.0,0.0,0.0,0.0,0.0,51.92
2018-07-05 15:06:03.993770,39.71875,32.25,15.1306152344,1021.04,-0.5146484375,1.77978515625,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,57.86
