Time,Ambient Temperature (degC),Object Temperature (degC),Humidity (RH),Barometer (millibars),Accelerometer-x (g),Accelerometer-y (g),Accelerometer-z (g),Magnetometer-x (uT),Magnetometer-y (uT),Magnetometer-z (uT),Gyroscope-x (deg/sec),Gyroscope-y (deg/sec),Gyroscope-z (deg/sec),Light (lux)
2018-07-06 00:00:55.177038,30.28125,20.75,22.6196289062,1018.59,-0.42236328125,1.69287109375,1.0791015625,-68.5221001221,-2.24908424908,-4.19829059829,0.503540039062,-3.39508056641,-0.205993652344,0.08
2018-07-06 00:01:57.687180,30.28125,20.8125,22.6196289062,1018.56,-0.4287109375,1.75634765625,1.068359375,-68.672039072,-1.34945054945,-5.3978021978,-2.37274169922,-4.70733642578,-0.579833984375,0.08
2018-07-06 00:02:59.853454,30.28125,20.71875,22.6196289062,1018.49,-0.45263671875,1.744140625,1.1103515625,-70.1714285714,-1.79926739927,-4.94798534799,-1.35803222656,-3.34930419922,-2.51770019531,0.08
2018-07-06 00:04:02.019768,30.28125,20.75,22.6196289062,1018.42,-0.4658203125,1.64404296875,1.13623046875,-68.821978022,-1.19951159951,-4.49816849817,-1.64794921875,-3.31115722656,-1.32751464844,0.08
2018-07-06 00:05:04.194021,30.28125,20.46875,22.6196289062,1018.45,-0.45849609375,1.75390625,1.142578125,-69.5716727717,-2.39902319902,-5.69768009768,-2.47192382812,-0.625610351562,-2.44140625,0.08
2018-07-06 00:06:06.360292,30.28125,20.71875,22.6196289062,1018.42,-0.43505859375,1.78564453125,1.1142578125,-67.7724053724,-2.84884004884,-4.19829059829,-3.89862060547,-4.56237792969,-2.96020507812,0.08
2018-07-06 00:07:08.530571,30.3125,20.625,22.6196289062,1018.42,-0.3974609375,1.68408203125,1.0888671875,-69.7216117216,-2.39902319902,-3.59853479853,-2.81524658203,-3.15856933594,-0.373840332031,0.08
2018-07-06 00:08:10.900840,30.3125,20.75,22.6196289062,1018.37,-0.42236328125,1.66650390625,1.08154296875,-68.5221001221,-2.54896214896,-4.19829059829,-4.28009033203,-4.26483154297,-0.79345703125,0.08
2018-07-06 00:09:13.279118,30.3125,20.75,22.5219726562,1018.41,-0.44140625,1.74755859375,1.1494140625,-67.9223443223,-2.39902319902,-4.94798534799,-2.22778320312,-5.98907470703,-1.96075439453,0.08
2018-07-06 00:10:15.309431,30.3125,20.71875,22.6196289062,1018.41,-0.40673828125,1.751953125,1.154296875,-68.5221001221,-3.59853479853,-5.24786324786,-4.56237792969,-1.74713134766,-3.07464599609,0.08
